state,District Name,block,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft (Total),Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Stage of Groundwater Development (%)
MP,Alirajpur,Sondwa,278.49,607.78,886.27,6410.13,0.073,6089.62,14.5538
MP,Alirajpur,Alirajpur,756.417,907.2,1663.62,4987.82,0.078,4738.43,35.1091
MP,Alirajpur,Bhabra,224.461,663.696,888.157,1975.01,0.063,1876.26,47.3365
MP,Datia,Bhander,315.606,3177.62,3493.23,10455.5,0.159,9932.72,35.1689
MP,Dewas,Dewas,530.695,17924.87,18455.56,17850.74,0.179,16958.2,108.83
MP,Dewas,Khategaon,354.989,10167.77,10522.76,13317.22,0.152,12651.36,83.1749
MP,Dewas,Bagli,625.117,12101.37,12726.49,20100.34,0.111,19095.32,66.6472
RJ,Jhunjhunun,Alsisar,836.37,1725.61,2561.98,2676.99,0.03261,2409.29,106.34
RJ,Jhunjhunun,Nawalgarh,1245.39,8755.68,10001.07,3603.52,0.055901,3423.35,292.14
RJ,Jhunjhunun,Surajgarh,1078.0,6747.3,7825.3,3316.58,0.040267,2984.92,262.16
MP,Alirajpur,Jobat,154.289,759.62,913.909,2413.18,0.065,2292.52,39.8648
RJ,Jhunjhunun,Udaipurwati,1316.27,8518.07,9834.34,4547.99,0.051462,4093.2,240.26
RJ,Sikar,Danta Ramgarh,806.58,7367.14,8173.72,5088.37,0.044042,4579.54,178.48
RJ,Sikar,Dhond,788.58,5293.86,6082.44,4181.0,0.045599,3762.9,161.64
MP,Anuppur,Jaithari,368.792,664.2,1032.99,11475.97,0.137,10902.17,9.4751
MP,Anuppur,Anuppur,211.273,39.3984,250.671,10672.81,0.192,10139.17,2.47231
JH,Bokaro,Gumia,296.921,630.457,927.378,6810.44,0.116938,6469.92,14.3337
RJ,Sikar,Fatehpur,943.14,2118.86,3062.0,4773.18,0.038227,4365.29,70.14
RJ,Sikar,Khandela,373.34,4373.2,4746.54,3302.83,0.041325,2972.54,159.68
RJ,Sikar,Lachhmangarh,778.4,3534.82,4313.22,4744.67,0.046036,4270.2,101.01
RJ,Sikar,Neem Ka Thana,690.92,3300.72,3991.64,3144.29,0.026168,2938.23,135.85
MP,Anuppur,Kotma,128.874,146.707,275.581,5488.94,0.161,5214.5,5.2849
MP,Balaghat,Katangi,335.694,1452.31,1788.01,7948.72,0.132,7551.28,23.6782
MP,Dhar,Nisarpur,218.279,2714.47,2932.75,4649.06,0.132,4416.6,66.4028
RJ,Sikar,Piprali,891.44,5080.43,5971.86,3244.38,0.039423,2919.94,204.52
MP,Balaghat,Waraseoni,306.598,1241.55,1548.15,5368.68,0.184,5100.24,30.3544
UP,Basti,Dubauliya,126.185,5715.55,5841.73,7634.71,0.3817,7252.98,80.54
RJ,Sikar,Srimadhopur,569.73,5982.94,6552.66,3668.8,0.06291,3301.92,198.45
MP,Balaghat,Balaghat,332.167,1631.55,1963.72,13415.43,0.12,12744.66,15.4082
JH,Bokaro,Jaridih,151.239,709.981,861.221,1640.69,0.089655,1476.62,58.3238
RJ,Barmer,Barmer,646.72,553.96,1200.68,2867.93,0.007773,2692.14,44.6
RJ,Barmer,Chohtan,963.09,3644.4,4607.49,5189.21,0.016871,4670.29,98.66
RJ,Barmer,Balotra,889.44,2521.92,3411.36,2109.44,0.00625,1898.49,179.69
PB,Ludhiana,Jagraon,857.0,30505.0,31362.0,25856.0,0.682121,23270.0,135.0
MP,Balaghat,Paraswada,200.61,84.942,285.552,11281.94,0.097,10717.84,2.66427
JH,Bokaro,Kasmar,135.887,1071.94,1207.83,1816.15,0.094591,1634.53,73.8945
MP,Balaghat,Kirnapur,363.292,1467.83,1831.13,7876.46,0.102,7482.64,24.4717
JH,Bokaro,Nawadih,281.846,537.815,819.661,3275.64,0.095222,2948.08,27.8032
MP,Barwani,Rajpur,482.699,6831.32,7314.02,8758.5,0.12,8320.57,87.9029
MP,Barwani,Barwani,313.623,3825.32,4138.94,6696.97,0.12,6362.12,65.056
BR,Vaishali,Sahdal Buzurg,183.0,1439.0,1622.0,3161.0,0.315715,2845.0,57.0
RJ,Baran,Chhipabarod,461.47,8467.15,8928.62,6135.36,0.089324,5706.53,156.46
RJ,Baran,Shahbad,389.46,2983.62,3373.08,6715.1,0.046346,6251.5,53.96
MP,Neemuch,Jawad,497.403,9534.49,10031.9,11384.24,0.073,10815.03,92.7588
MP,Barwani,Pansemal,306.066,4751.89,5057.96,4612.7,0.158,4382.06,115.424
MP,Barwani,Pati,343.872,822.598,1166.47,2520.06,0.112,2394.05,48.7237
MP,Bhind,Gohad,511.632,5550.05,6061.68,15166.76,0.148,14408.42,42.0704
RJ,Chittaurgarh,Nimbahera,271.48,8129.18,8400.66,6420.03,0.075644,5778.02,145.39
RJ,Jhalawar,Dag,280.51,7282.42,7562.93,6599.72,0.057567,6269.73,120.63
RJ,Jhalawar,Manohar Thana,238.08,8464.25,8702.33,7155.58,0.07305,6797.8,128.02
MP,Bhind,Bhind,451.891,2907.88,3359.77,9908.52,0.13,9413.1,35.6925
BR,Vaishali,Mehnar,512.0,2414.0,2926.0,5432.0,0.373434,4889.0,59.8
MH,Ahmednagar,Parner,277.661,10262.77,10540.43,11.3162,0.006381,18989.49,55.5067
MH,Ahmednagar,Pathardi,265.768,7918.53,8184.3,12.3447,0.01113,12733.05,64.276
MP,Bhind,Ater,518.028,3917.46,4435.49,9211.85,0.151,8751.26,50.684
MP,Bhopal,Phanda,1571.79,14329.22,15901.01,21320.16,0.166,20254.15,78.5074
BR,Siwan,Basantpur,150.0,997.0,1146.0,2640.0,0.422922,2376.0,48.3
MP,Burhanpur,Khaknar,440.54,10724.45,11164.99,17999.33,0.129,17099.37,65.2948
MP,Burhanpur,Burhanpur,706.532,12779.82,13486.36,16077.33,0.137,15273.46,88.2993
BR,Gaya,Guraru,213.0,1258.0,1472.0,4837.0,0.292451,4353.0,33.8
MP,Chhatarpur,Rajnagar,389.905,10352.99,10742.89,14879.82,0.114,14135.83,75.9976
MP,Chhatarpur,Bijawar,508.127,6322.28,6830.4,12556.69,0.089,11928.85,57.2595
MP,Chhindwara,Chaurai,444.245,9818.5,10262.74,19961.81,0.175,18963.72,54.1178
BR,Kaimur,Chand,195.0,1429.0,1624.0,7709.0,0.490634,6938.0,23.4
MH,Ahmednagar,Rahuri,174.103,13639.47,13813.57,17.3401,0.018548,15400.03,89.6984
MP,Chhindwara,Chhindwara,1178.2,10695.56,11873.76,13424.87,0.211,12753.62,93.1011
MP,Dhar,Gandhwani,427.205,2967.84,3395.04,7343.04,0.11,6975.88,48.6683
HR,Mewat,Nagina,212.0,1880.0,2092.0,4715.0,0.233925,4479.0,47.0
MP,Chhindwara,Parasia,655.358,6927.9,7583.26,11446.45,0.166,10874.13,69.7367
MP,Gwalior,Morar,462.783,6391.39,6854.17,9818.07,0.102,9327.17,73.4861
MP,Gwalior,Ghatigaon,577.457,5087.12,5664.57,10484.03,0.067,9959.83,56.8742
MP,Harda,Harda,329.515,5101.92,5431.43,16394.09,0.179,15574.38,34.8742
MP,Harda,Khirkiya,339.361,4367.52,4706.88,8414.16,0.106,7993.45,58.8842
MP,Hoshangabad,Bankhedi,293.962,14246.06,14540.03,23015.72,0.344,21864.93,66.4993
MP,Hoshangabad,Pipariya,379.455,5749.57,6129.03,21900.96,0.254,20805.92,29.4581
JH,Bokaro,Peterbar,202.589,771.879,974.469,2740.76,0.095497,2603.72,37.426
MH,Ahmednagar,Sangamner,529.22,16220.79,16750.01,10.8529,0.006614,16918.55,99.0038
MH,Ahmednagar,Shevgaon,243.247,9199.77,9443.02,12.7389,0.013469,11305.27,83.5276
MH,Ahmednagar,Shrigonda,196.169,10343.26,10539.43,10.8167,0.007973,13940.89,75.6008
MP,Chhindwara,Sausar,434.624,3864.15,4298.78,9365.58,0.135,8897.3,48.3155
MP,Chhindwara,Amarwara,668.445,5809.97,6478.41,15918.06,0.169,15122.15,42.8405
MP,Chhindwara,Tamia,227.349,611.064,838.413,6572.99,0.127,6244.35,13.4268
MP,Damoh,Jabera,370.0,1805.98,2175.98,7051.09,0.056,6698.53,32.4844
MP,Damoh,Patera,263.656,2042.82,2306.48,4288.25,0.074,4073.84,56.6168
MP,Dhar,Bagh,263.981,1715.95,1979.93,4774.54,0.093,4535.82,43.651
BR,Gaya,Gurua,271.0,2074.0,2345.0,6394.0,0.336586,5754.0,40.8
MP,Dhar,Kukshi,177.234,2332.84,2510.07,3774.05,0.11,3585.34,70.0092
MP,Jhabua,Ranapur,204.724,710.791,915.515,1887.46,0.049,1793.09,51.058
MH,Ahmednagar,Shrirampur,163.12,8780.27,8943.39,17.2255,0.029538,9543.03,93.7164
